drive_hz,piezo_freq_hz,confidence,median_p2p,mean_p2p,max_p2p,min_adc,max_adc,sample_count
525.0,525.7,0.9357142857142857,124.0,126.28571428571429,150,108,264,7
525.25,526.1,0.9400000000000001,123.0,130.57142857142858,159,108,267,7
525.5,526.7,0.9328571428571428,125.0,121.44444444444444,158,113,273,9
525.75,526.5,0.9385714285714286,135.0,142.0,169,101,272,7
526.0,526.8,0.9414285714285714,144.0,144.57142857142858,161,107,273,7
526.25,526.9,0.94,154.0,150.42857142857142,158,109,273,7
526.5,527.2,0.9428571428571428,160.0,156.85714285714286,167,108,281,7
526.75,527.5,0.9425,165.0,140.9,180,101,284,10
527.0,527.55,0.94375,180.0,179.125,212,82,294,8
527.25,528.1,0.94625,197.0,185.875,199,94,300,8
527.5,528.0,0.9462499999999999,207.5,198.625,226,84,316,8
527.75,528.4,0.94875,223.0,210.25,234,79,314,8
528.0,528.6,0.9542857142857143,233.0,194.0,272,62,334,9
528.25,528.8,0.9557142857142856,257.0,244.85714285714286,264,66,334,7
528.5,528.8,0.9585714285714285,272.0,253.28571428571428,275,57,337,7
528.75,529.2,0.9585714285714285,273.0,256.57142857142856,285,53,338,7
529.0,529.4,0.9528571428571428,271.0,253.28571428571428,288,50,338,7
529.25,529.6,0.9571428571428571,255.5,202.5,294,49,343,10
529.5,529.8,0.9614285714285714,258.0,250.85714285714286,281,55,348,7
529.75,530.3,0.9442857142857143,256.0,247.28571428571428,270,60,330,7
530.0,530.2,0.9557142857142856,237.0,228.0,249,70,321,7
530.25,530.8,0.9414285714285714,237.0,227.85714285714286,253,71,325,7
530.5,531.1,0.9471428571428572,215.5,175.6,234,78,316,10
530.75,530.9,0.9514285714285714,207.0,203.14285714285714,214,85,305,7
531.0,531.2,0.9471428571428572,189.0,188.42857142857142,202,94,299,7
531.25,531.6,0.9442857142857143,174.0,176.85714285714286,198,94,292,7
531.5,531.7,0.9471428571428572,168.0,170.0,197,103,300,7
531.75,532.1,0.9442857142857143,160.0,142.66666666666666,185,109,294,9
532.0,532.3,0.9414285714285714,151.0,156.0,183,105,288,7
532.25,532.8,0.9357142857142857,148.0,149.85714285714286,164,113,277,7
532.5,532.8,0.9342857142857143,140.0,143.14285714285714,159,118,277,7
532.75,533.3,0.9342857142857143,141.0,141.14285714285714,158,110,278,7
533.0,533.7,0.9285714285714286,123.0,111.6,151,119,270,10
533.25,533.8,0.9271428571428572,127.0,127.57142857142857,151,116,267,7
533.5,534.3,0.9242857142857143,120.0,126.71428571428571,158,112,270,7
533.75,534.4,0.92,121.0,121.71428571428571,138,124,262,7
534.0,534.3,0.9242857142857143,116.0,116.28571428571429,130,128,262,7
534.25,535.7,0.92,115.0,105.55555555555556,134,128,262,9
534.5,535.5,0.9085714285714286,118.0,113.71428571428571,126,120,259,7
534.75,535.9,0.9028571428571429,112.0,113.57142857142857,130,124,254,7
535.0,535.9,0.91,106.0,106.0,125,131,256,7
