drive_hz,piezo_freq_hz,confidence,median_p2p,mean_p2p,max_p2p,min_adc,max_adc,sample_count
450.0,,,59.0,59.625,66,159,226,8
455.0,,,57.5,58,64,161,230,8
460.0,,,60.0,59.875,64,160,225,8
465.0,,,64.0,62.75,68,157,229,8
470.0,,,54,55.666666666666664,61,161,223,9
475.0,,,63,61.57142857142857,65,160,229,7
480.0,,,60,60.857142857142854,70,160,234,7
485.0,,,58,58.714285714285715,64,161,226,7
490.0,,,59,60,69,156,228,7
495.0,,,63,61.888888888888886,69,156,231,9
500.0,,,61,64.71428571428571,72,155,232,7
505.0,,,68,70.14285714285714,88,155,243,7
510.0,,,70,68.57142857142857,75,156,233,7
515.0,,,75,77.71428571428571,92,144,237,7
520.0,,,86,82.44444444444444,92,144,240,9
525.0,525.8,0.93,121,125.85714285714286,146,119,266,7
530.0,530.5,0.9414285714285714,252,238.14285714285714,262,59,328,7
535.0,535.85,0.9166666666666666,108,107.42857142857143,116,130,251,7
540.0,,,78,82.14285714285714,91,143,246,7
545.0,,,71.5,71.1,88,152,248,10
550.0,,,67,68.42857142857143,76,155,235,7
555.0,,,68,67.14285714285714,72,158,233,7
560.0,,,64,63.285714285714285,71,157,229,7
565.0,,,63,63.285714285714285,69,156,230,7
570.0,,,62,61.111111111111114,68,161,231,9
575.0,,,63,60.57142857142857,66,159,227,7
580.0,,,60,60.142857142857146,65,157,227,7
585.0,,,58,60.285714285714285,67,161,228,7
590.0,,,58,60.42857142857143,70,157,235,7
595.0,,,60,60.44444444444444,71,159,232,9
600.0,,,57,58.42857142857143,71,153,224,7
