drive_hz,piezo_freq_hz,confidence,median_p2p,mean_p2p,max_p2p,min_adc,max_adc,sample_count
527.0,527.8,0.9471428571428572,179,179.28571428571428,202,94,296,7
527.25,528.0,0.9514285714285714,191,191.71428571428572,206,86,306,7
527.5,528.0,0.9514285714285714,208,205.57142857142858,219,84,312,7
527.75,528.3,0.9528571428571428,223,218.57142857142858,233,83,318,7
528.0,528.5,0.9542857142857143,236.5,187.6,249,74,326,10
528.25,528.75,0.94625,251.0,231,262,67,329,8
528.5,529.0,0.9512499999999999,267.0,241.625,287,51,339,8
528.75,529.1500000000001,0.94875,263.5,240.75,276,59,338,8
529.0,529.3499999999999,0.94875,266.0,243.75,280,58,339,8
529.25,529.4,0.9571428571428571,252,204.77777777777777,284,55,339,9
529.5,529.6,0.96,265,248.85714285714286,272,59,337,7
529.75,530.3,0.9457142857142857,247,239,265,66,331,7
530.0,530.0,0.9571428571428571,242,231.14285714285714,253,67,330,7
530.25,530.8,0.9428571428571428,229,222,244,72,318,7
530.5,530.5,0.9585714285714285,206,178.22222222222223,225,80,310,9
530.75,531.3,0.9457142857142857,205,200.85714285714286,210,91,303,7
531.0,531.3,0.9457142857142857,183,183.71428571428572,200,94,294,7
